"Start","End","Day","Weekend","Arrival","Charge.Duration","Park.Duration","Energy"
2018-02-06 19:39:00,2018-02-06 20:33:00,"Tuesday",0,19.65,54.1333333333333,54.3333333333333,3.368
2018-02-06 21:17:00,2018-02-07 18:39:00,"Tuesday",0,21.28,138.516666666667,1282.78333333333,8.532
2018-02-06 21:18:00,2018-02-06 23:00:00,"Tuesday",0,21.3,101.866666666667,102.166666666667,11.06
2018-02-06 22:04:00,2018-02-06 22:26:00,"Tuesday",0,22.07,22.7,22.8333333333333,2.337
2018-02-07 00:06:00,2018-02-07 00:42:00,"Wednesday",0,0.1,35.9666666666667,36.2333333333333,3.586
2018-02-07 16:05:00,2018-02-07 18:17:00,"Wednesday",0,16.08,131.516666666667,131.733333333333,7.093
2018-02-07 16:30:00,2018-02-08 02:23:00,"Wednesday",0,16.5,369.566666666667,593.1,36.106
2018-02-07 19:48:00,2018-02-07 21:58:00,"Wednesday",0,19.8,129.333333333333,130.566666666667,6.239
2018-02-07 19:53:00,2018-02-07 22:41:00,"Wednesday",0,19.88,91.2666666666667,168.1,5.306
2018-02-07 20:59:00,2018-02-08 00:06:00,"Wednesday",0,20.98,186.266666666667,186.55,14.192
2018-02-07 21:10:00,2018-02-07 21:47:00,"Wednesday",0,21.17,37.2333333333333,37.45,2.226
2018-02-07 22:52:00,2018-02-07 23:35:00,"Wednesday",0,22.87,43.35,43.8,2.315
2018-02-07 23:27:00,2018-02-08 18:42:00,"Wednesday",0,23.45,21.9666666666667,1155.11666666667,1.042
2018-02-08 00:28:00,2018-02-08 02:58:00,"Thursday",0,0.47,150.133333333333,150.366666666667,15.209
2018-02-08 13:28:00,2018-02-08 14:31:00,"Thursday",0,13.47,63.1833333333333,63.3,6.325
2018-02-08 15:41:00,2018-02-08 18:22:00,"Thursday",0,15.68,62.8166666666667,161.183333333333,3.287
