"Start","End","Day","Weekend","Arrival","Park.Duration","Energy"
2017-01-11 09:03:00,2017-01-11 11:56:00,"Wednesday",0,9.05,173,1.74
2017-01-11 09:05:00,2017-01-11 09:10:00,"Wednesday",0,9.08,5,1.86
2017-01-11 09:13:00,2017-01-11 09:36:00,"Wednesday",0,9.22,23,8.17
2017-01-11 09:20:00,2017-01-11 13:06:00,"Wednesday",0,9.33,226,2.517
2017-01-11 09:26:00,2017-01-11 17:19:00,"Wednesday",0,9.43,473,8.06
2017-01-11 09:29:00,2017-01-11 10:15:00,"Wednesday",0,9.48,46,15.63
2017-01-11 09:29:00,2017-01-11 13:41:00,"Wednesday",0,9.48,252,0.69
2017-01-11 09:37:00,2017-01-11 10:09:00,"Wednesday",0,9.62,32,3.32
2017-01-11 09:41:00,2017-01-11 10:42:00,"Wednesday",0,9.68,61,3.25
2017-01-11 09:45:00,2017-01-11 09:54:00,"Wednesday",0,9.75,9,4.2
2017-01-11 09:55:00,2017-01-11 12:04:00,"Wednesday",0,9.92,129,4.774
2017-01-11 09:56:00,2017-01-11 11:28:00,"Wednesday",0,9.93,92,5.21
2017-01-11 09:57:00,2017-01-11 10:02:00,"Wednesday",0,9.95,5,1.37
2017-01-11 09:59:00,2017-01-11 11:18:00,"Wednesday",0,9.98,79,0.777
2017-01-11 10:04:00,2017-01-11 10:19:00,"Wednesday",0,10.07,15,7.86
